Mismatch Threshold,Candidate,Observation Requests,Observation Mismatches,Observation Mismatch Rate,Required Would-Deny,Candidate Expansions,Full SOR Action,Legitimate Denials
0.005,Unsafe candidate,10000,599,0.059900,599,0,Promotion withheld,0
0.005,Safe candidate,10000,93,0.009300,0,0,Promotion withheld,0
0.010,Unsafe candidate,10000,599,0.059900,599,0,Promotion withheld,0
0.010,Safe candidate,10000,93,0.009300,0,0,Promoted,0
0.030,Unsafe candidate,10000,599,0.059900,599,0,Promotion withheld,0
0.030,Safe candidate,10000,93,0.009300,0,0,Promoted,0
0.050,Unsafe candidate,10000,599,0.059900,599,0,Promotion withheld,0
0.050,Safe candidate,10000,93,0.009300,0,0,Promoted,0
0.100,Unsafe candidate,10000,599,0.059900,599,0,Promotion withheld,0
0.100,Safe candidate,10000,93,0.009300,0,0,Promoted,0
